element,name,position,GW,was_home,played,90s_per_gameweek,prev_game_minutes_1,prev_game_minutes_2,prev_game_minutes_3,prev_game_minutes_4,prev_game_minutes_5,minutes_form,points_per_90,form,ict_per_90,ict_form,bps_per_90,bps_form,previous_season_points_per_90,previous_season_90s_per_gameweek,opp_team_goals_scored_per_game,opp_team_xG_per_game,opp_team_goals_conceded_per_game,opp_team_xGA_per_game,opp_team_goals_scored_form,opp_team_goals_conceded_form,opp_team_goalless_games_per_game,opp_team_clean_sheets_per_game
833,Habeeb Ogunneye,DEF,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.41781948833336696,1.088235294117647,1.0470588235294118,2.0294117647058822,1.75,1.6,1.2,0.35294117647058826,0.058823529411764705
218,Hakim Ziyech,MID,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.576271186440678,0.18976608187134503,2.088235294117647,1.714705882352941,1.4705882352941178,1.5205882352941176,2.2,1.6,0.11764705882352941,0.23529411764705882
218,Hakim Ziyech,MID,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.576271186440678,0.18976608187134503,2.03125,1.73125,1.53125,1.653125,1.2,2.0,0.0625,0.1875
789,Hakon Valdimarsson,GKP,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.41781948833336696,1.0588235294117647,1.423529411764706,1.411764705882353,1.473529411764706,1.2,1.4,0.35294117647058826,0.3235294117647059
100,Halil Dervisoglu,FWD,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0017543859649122807,1.0588235294117647,1.423529411764706,1.411764705882353,1.473529411764706,1.2,1.4,0.35294117647058826,0.3235294117647059
87,Hamed Traore,MID,35,1,0,0.01437908496732026,0.0,0.0,0.0,0.0,0.0,0.0,6.136363636363637,0.0,11.65909090909091,0.0,20.454545454545457,0.0,2.9647058823529413,0.12426900584795322,1.5757575757575757,1.478787878787879,1.6363636363636365,1.4757575757575756,0.4,2.0,0.24242424242424243,0.15151515151515152
694,Han-Noah Massengo,MID,35,0,0,0.004861111111111111,0.0,0.0,0.0,0.0,0.0,0.0,19.285714285714285,0.0,1.9285714285714288,0.0,70.71428571428571,0.0,5.001114096961111,0.41781948833336696,1.5454545454545454,1.521212121212121,1.5151515151515151,1.809090909090909,2.4,2.2,0.21212121212121213,0.24242424242424243
674,Hannes Delcroix,DEF,35,0,0,0.19663299663299663,0.0,0.0,0.0,0.0,0.0,0.0,1.0787671232876712,0.0,3.220890410958904,0.0,13.561643835616438,0.0,5.001114096961111,0.41781948833336696,1.5454545454545454,1.521212121212121,1.5151515151515151,1.809090909090909,2.4,2.2,0.21212121212121213,0.24242424242424243
383,Hannibal Mejbri,MID,35,1,0,0.0441077441077441,0.0,0.0,0.0,0.0,0.0,0.0,7.557251908396947,0.0,6.183206106870229,0.0,23.358778625954198,0.0,5.001114096961111,0.41781948833336696,1.088235294117647,1.0470588235294118,2.0294117647058822,1.75,1.6,1.2,0.35294117647058826,0.058823529411764705
404,Harrison Ashby,DEF,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.0,0.9705882352941176,0.9794117647058823,2.7058823529411766,1.961764705882353,1.2,3.0,0.38235294117647056,0.029411764705882353
282,Harrison Reed,MID,35,1,0,0.3787581699346405,0.0,1.0,0.0,19.0,0.0,4.0,3.106125970664366,0.4,3.121656600517688,0.45999999999999996,13.51164797238999,1.4,3.3577405857740583,0.8385964912280702,1.2941176470588236,1.202941176470588,1.6470588235294117,1.4176470588235293,2.0,1.4,0.20588235294117646,0.23529411764705882
846,Harry Amass,DEF,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.41781948833336696,1.088235294117647,1.0470588235294118,2.0294117647058822,1.75,1.6,1.2,0.35294117647058826,0.058823529411764705
435,Harry Arter,MID,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.0,2.4242424242424243,2.0757575757575757,0.9696969696969697,0.9393939393939394,3.4,0.8,0.09090909090909091,0.30303030303030304
500,Harry Kane,FWD,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.949500880798591,0.995906432748538,2.411764705882353,1.9882352941176469,0.7647058823529411,0.7029411764705883,2.4,0.4,0.14705882352941177,0.47058823529411764
500,Harry Kane,FWD,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.949500880798591,0.995906432748538,1.90625,1.95,1.78125,1.553125,2.8,2.4,0.1875,0.1875
387,Harry Maguire,DEF,35,1,0,0.5252525252525252,90.0,90.0,90.0,90.0,45.0,81.0,4.096153846153847,3.0,4.361538461538461,3.96,19.55769230769231,17.6,4.606299212598425,0.22280701754385965,1.088235294117647,1.0470588235294118,2.0294117647058822,1.75,1.6,1.2,0.35294117647058826,0.058823529411764705
465,Harry Toffolo,DEF,35,1,0,0.4369281045751634,0.0,0.0,0.0,7.0,6.0,2.6,3.298429319371728,0.4,5.196709050112191,0.04,16.55946148092745,1.2,2.8938906752411575,0.27280701754385966,2.4242424242424243,2.0757575757575757,0.9696969696969697,0.9393939393939394,3.4,0.8,0.09090909090909091,0.30303030303030304
288,Harry Wilson,MID,35,1,0,0.4872549019607843,19.0,16.0,25.0,32.0,0.0,18.4,4.5875251509054324,0.8,5.655935613682093,1.18,15.090543259557345,2.4,5.6405529953917055,0.31725146198830406,1.2941176470588236,1.202941176470588,1.6470588235294117,1.4176470588235293,2.0,1.4,0.20588235294117646,0.23529411764705882
603,Harvey Barnes,MID,35,1,0,0.2158249158249158,64.0,87.0,25.0,90.0,23.0,57.8,7.160686427457099,4.6,8.269890795631825,6.840000000000001,21.903276131045242,15.8,4.584717607973421,0.7921052631578948,0.9705882352941176,0.9794117647058823,2.7058823529411766,1.961764705882353,1.2,3.0,0.38235294117647056,0.029411764705882353
787,Harvey Griffiths,MID,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.0,1.3823529411764706,1.1352941176470588,2.2058823529411766,2.085294117647059,1.0,3.0,0.14705882352941177,0.058823529411764705
167,Hjalmar Ekdal,DEF,35,0,0,0.12777777777777777,0.0,66.0,0.0,0.0,0.0,13.2,3.222506393861893,1.8,2.2787723785166243,0.44000000000000006,15.421994884910488,5.2,5.001114096961111,0.41781948833336696,1.5454545454545454,1.521212121212121,1.5151515151515151,1.809090909090909,2.4,2.2,0.21212121212121213,0.24242424242424243
548,Hugo Bueno Lopez,DEF,35,1,0,0.2091503267973856,0.0,90.0,31.0,3.0,67.0,38.2,3.796875,1.0,3.7125,0.8800000000000001,17.15625,5.8,2.8232593726090283,0.3821637426900585,1.3823529411764706,1.1352941176470588,2.2058823529411766,2.085294117647059,1.0,3.0,0.14705882352941177,0.058823529411764705
502,Hugo Lloris,GKP,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63265306122449,0.6447368421052632,2.411764705882353,1.9882352941176469,0.7647058823529411,0.7029411764705883,2.4,0.4,0.14705882352941177,0.47058823529411764
502,Hugo Lloris,GKP,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63265306122449,0.6447368421052632,1.90625,1.95,1.78125,1.553125,2.8,2.4,0.1875,0.1875
557,Hwang Hee-chan,MID,35,1,0,0.5846405228758169,90.0,50.0,31.0,0.0,0.0,34.2,5.433202906651761,0.6,6.082168809390722,1.44,14.740078256008944,1.2,4.834377797672336,0.32660818713450296,1.3823529411764706,1.1352941176470588,2.2058823529411766,2.085294117647059,1.0,3.0,0.14705882352941177,0.058823529411764705
466,Hwang Ui-jo,FWD,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.41781948833336696,2.4242424242424243,2.0757575757575757,0.9696969696969697,0.9393939393939394,3.4,0.8,0.09090909090909091,0.30303030303030304
609,Ian Maatsen,MID,35,0,0,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,4.635,0.0,10.799999999999999,0.0,5.001114096961111,0.41781948833336696,2.088235294117647,1.714705882352941,1.4705882352941178,1.5205882352941176,2.2,1.6,0.11764705882352941,0.23529411764705882
609,Ian Maatsen,MID,35,1,0,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,4.635,0.0,10.799999999999999,0.0,5.001114096961111,0.41781948833336696,2.03125,1.73125,1.53125,1.653125,1.2,2.0,0.0625,0.1875
713,Ibrahim Sangare,MID,35,1,0,0.36777777777777776,0.0,0.0,9.0,0.0,45.0,10.8,2.084592145015106,0.4,2.72809667673716,0.3,7.522658610271903,2.6,5.001114096961111,0.41781948833336696,2.4242424242424243,2.0757575757575757,0.9696969696969697,0.9393939393939394,3.4,0.8,0.09090909090909091,0.30303030303030304
254,Idrissa Gueye,MID,35,1,0,0.5062091503267974,74.0,90.0,0.0,0.0,81.0,49.0,2.8469980632666236,3.2,3.4454486765655257,2.5,14.46739832149774,11.4,2.3050058207217696,0.7535087719298246,1.5294117647058822,1.6029411764705885,1.7352941176470589,1.464705882352941,2.2,1.0,0.17647058823529413,0.17647058823529413
606,Igor Julio dos Santos de Paulo,DEF,35,0,0,0.4033670033670034,34.0,77.0,0.0,90.0,0.0,40.2,1.9532554257095158,1.8,2.6368948247078463,1.5399999999999998,16.227045075125208,9.8,5.001114096961111,0.41781948833336696,1.4411764705882353,1.491176470588235,1.7647058823529411,1.5205882352941178,1.2,1.4,0.17647058823529413,0.23529411764705882
486,Iliman Ndiaye,FWD,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.41781948833336696,2.090909090909091,1.8727272727272726,1.6363636363636365,1.6666666666666665,2.0,1.2,0.15151515151515152,0.30303030303030304
89,Illia Zabarnyi,DEF,35,1,0,1.0,90.0,90.0,90.0,90.0,90.0,90.0,2.3823529411764706,3.2,2.5088235294117647,2.14,15.823529411764707,17.4,2.121212121212121,0.08684210526315789,1.5757575757575757,1.478787878787879,1.6363636363636365,1.4757575757575756,0.4,2.0,0.24242424242424243,0.15151515151515152
607,Ionut Radu,GKP,35,1,0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.65,0.0,15.5,0.0,5.001114096961111,0.41781948833336696,1.5757575757575757,1.478787878787879,1.6363636363636365,1.4757575757575756,0.4,2.0,0.24242424242424243,0.15151515151515152
413,Isaac Hayden,MID,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.41781948833336696,0.9705882352941176,0.9794117647058823,2.7058823529411766,1.961764705882353,1.2,3.0,0.38235294117647056,0.029411764705882353
819,Ishe Samuels-Smith,DEF,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.0,2.088235294117647,1.714705882352941,1.4705882352941178,1.5205882352941176,2.2,1.6,0.11764705882352941,0.23529411764705882
819,Ishe Samuels-Smith,DEF,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.0,2.03125,1.73125,1.53125,1.653125,1.2,2.0,0.0625,0.1875
478,Ismaila Coulibaly,MID,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.41781948833336696,2.090909090909091,1.8727272727272726,1.6363636363636365,1.6666666666666665,2.0,1.2,0.15151515151515152,0.30303030303030304
271,Issa Diop,DEF,35,1,0,0.376797385620915,0.0,0.0,0.0,0.0,0.0,0.0,2.9661751951431046,0.0,2.6227233304423243,0.0,17.094535993061577,0.0,3.5408366533864544,0.5871345029239766,1.2941176470588236,1.202941176470588,1.6470588235294117,1.4176470588235293,2.0,1.4,0.20588235294117646,0.23529411764705882
602,Issa Kabore,DEF,35,0,0,0.5643790849673203,34.0,0.0,90.0,90.0,90.0,60.8,1.7718587145338736,0.6,3.3352634626519975,2.7399999999999998,12.298784018529242,10.0,5.001114096961111,0.41781948833336696,1.3529411764705883,1.276470588235294,1.588235294117647,1.6558823529411766,0.8,1.6,0.23529411764705882,0.14705882352941177
269,Ivan Neves Abreu Cavaleiro,MID,35,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001114096961111,0.0,1.2941176470588236,1.202941176470588,1.6470588235294117,1.4176470588235293,2.0,1.4,0.20588235294117646,0.23529411764705882
507,Ivan Perisic,DEF,35,1,0,0.034027777777777775,0.0,0.0,0.0,0.0,0.0,0.0,5.510204081632653,0.0,12.857142857142858,0.0,31.22448979591837,0.0,4.030490709861839,0.6137426900584796,2.411764705882353,1.9882352941176469,0.7647058823529411,0.7029411764705883,2.4,0.4,0.14705882352941177,0.47058823529411764
507,Ivan Perisic,DEF,35,0,0,0.034027777777777775,0.0,0.0,0.0,0.0,0.0,0.0,5.510204081632653,0.0,12.857142857142858,0.0,31.22448979591837,0.0,4.030490709861839,0.6137426900584796,1.90625,1.95,1.78125,1.553125,2.8,2.4,0.1875,0.1875
117,Ivan Toney,FWD,35,0,0,0.3558823529411765,0.0,0.0,9.0,90.0,90.0,37.8,3.9669421487603307,1.6,6.661157024793389,2.34,11.652892561983471,2.8,5.546901456146292,0.8634502923976608,1.0588235294117647,1.423529411764706,1.411764705882353,1.473529411764706,1.2,1.4,0.35294117647058826,0.3235294117647059
790,Ivo Grbic,GKP,35,0,0,0.658974358974359,0.0,90.0,90.0,90.0,90.0,72.0,1.7509727626459144,1.4,2.9883268482490273,2.4,17.39299610894942,14.2,5.001114096961111,0.41781948833336696,2.090909090909091,1.8727272727272726,1.6363636363636365,1.6666666666666665,2.0,1.2,0.15151515151515152,0.30303030303030304
163,Jack Cork,MID,35,0,0,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,35.0,0.0,5.001114096961111,0.41781948833336696,1.5454545454545454,1.521212121212121,1.5151515151515151,1.809090909090909,2.4,2.2,0.21212121212121213,0.24242424242424243
354,Jack Grealish,MID,35,0,0,0.31212121212121213,18.0,0.0,90.0,90.0,29.0,45.4,4.466019417475728,1.0,8.640776699029125,3.3400000000000007,18.640776699029125,5.2,5.309605070697221,0.5997076023391813,1.2352941176470589,1.276470588235294,1.7647058823529411,1.3911764705882352,1.4,1.8,0.2647058823529412,0.11764705882352941
661,Jack Harrison,MID,35,1,0,0.6841750841750842,90.0,90.0,45.0,7.0,0.0,46.4,3.853346456692913,1.4,4.628444881889764,2.5,11.958661417322833,4.8,4.455116364979682,0.7915204678362574,1.5294117647058822,1.6029411764705885,1.7352941176470589,1.464705882352941,2.2,1.0,0.17647058823529413,0.17647058823529413
621,Jack Hinshelwood,MID,35,0,0,0.29158249158249155,0.0,0.0,0.0,0.0,0.0,0.0,4.364896073903003,0.0,5.715935334872979,0.0,16.108545034642034,0.0,90.0,0.00029239766081871346,1.4411764705882353,1.491176470588235,1.7647058823529411,1.5205882352941178,1.2,1.4,0.17647058823529413,0.23529411764705882
