web_name,club,position
Pugh,BOU,MID
Puncheon,CRY,MID
Perez,ARS,FWD
Perez,NEW,FWD
Quaner,HUD,FWD
Quina,WHU,MID
Rakip,CRY,MID
Ramsdale,BOU,GKP
Ramsey,ARS,MID
Randolph,WHU,GKP
Rangel,SWA,DEF
Rashford,MUN,FWD
Redmond,SOU,MID
Reid,WHU,DEF
Rice,WHU,DEF
Richarlison,WAT,MID
Riedewald,CRY,DEF
Ritchie,NEW,MID
Roberts,SWA,DEF
Robertson,LIV,DEF
Robinson,BUR,GKP
Robles,EVE,GKP
Robson-Kanu,WBA,FWD
Rodon,SWA,DEF
Rodriguez,WBA,FWD
Rojo,MUN,DEF
Romero,MUN,GKP
Rondon,WBA,FWD
Rooney,EVE,FWD
Rose,TOT,DEF
Rosenior,BHA,DEF
Routledge,SWA,MID
Ryan,BHA,GKP
Rudiger,CHE,DEF
Sabiri,HUD,MID
Saivet,NEW,MID
Sakho,CRY,DEF
Sakho,WHU,FWD
Sako,CRY,MID
Salah,LIV,MID
Sanches,SWA,MID
Sandro,EVE,FWD
Sane,MCI,MID
Scannell,HUD,MID
Schelotto,BHA,DEF
Schindler,HUD,DEF
Schlupp,CRY,DEF
Schmeichel,LEI,GKP
Schneiderlin,EVE,MID
Scott,CHE,MID
Shaqiri,STK,MID
Shaw,MUN,DEF
Shawcross,STK,DEF
Shelvey,NEW,MID
Sheyi Ojo,LIV,MID
Sidwell,BHA,MID
Sigurdsson,EVE,MID
Silva,LEI,MID
Simpson,BOU,DEF
Simpson,LEI,DEF
Sims,SOU,MID
Sinclair,WAT,FWD
Sissoko,TOT,MID
Skalak,BHA,MID
Slimani,NEW,FWD
Smalling,MUN,DEF
Smith,HUD,DEF
Snodgrass,WHU,MID
Sobhi,STK,MID
Solanke,LIV,FWD
Son,TOT,MID
Sorenson,STK,MID
Souare,CRY,DEF
Souttar,STK,DEF
Speroni,CRY,GKP
Stafylidis,STK,DEF
Stanislas,BOU,MID
Stankovic,HUD,DEF
Stekelenburg,EVE,GKP
Stephens,BHA,MID
Stephens,SOU,DEF
Sterling,CHE,DEF
Sterling,MCI,MID
Sterling,TOT,FWD
Steve Cook,BOU,DEF
Stewart,WAT,MID
Stones,MCI,DEF
Sturridge,WBA,FWD
Success,WAT,MID
Surman,BOU,MID
Suttner,BHA,DEF
Sanchez,MUN,MID
Sanchez,TOT,DEF
Sorloth,CRY,FWD
Tadic,SOU,MID
Targett,SOU,DEF
Tarkowski,BUR,DEF
Taylor,BOU,MID
Taylor,BUR,DEF
Taylor,SOU,GKP
Thomas,LEI,MID
Tomkins,CRY,DEF
Tomori,CHE,DEF
Tosun,EVE,FWD
Townsend,CRY,MID
Trippier,TOT,DEF
Trott,WHU,GKP
Tuanzebe,MUN,DEF
Tulloch,WBA,FWD
Tymon,STK,DEF
Ulloa,BHA,FWD
Ulvestad,BUR,MID
Valencia,MUN,DEF
Valencia,WHU,FWD
van Aanholt,CRY,DEF
van der Hoorn,SWA,DEF
van Dijk,LIV,DEF
van La Parra,HUD,MID
Vardy,LEI,FWD
Vertonghen,TOT,DEF
Vlasic,EVE,MID
Vokes,BUR,FWD
Vorm,TOT,GKP
Wague,WAT,DEF
Walcott,EVE,MID
Walker,MCI,DEF
Walker-Peters,TOT,DEF
Walters,BUR,MID
Wan-Bissaka,CRY,MID
Wanyama,TOT,MID
Ward,BUR,DEF
Ward,CRY,DEF
Ward,LIV,GKP
Ward-Prowse,SOU,MID
Watson,WAT,MID
Welbeck,ARS,FWD
Wells,BUR,FWD
Westwood,BUR,MID
Whelan,STK,MID
Whitehead,HUD,MID
Whiteman,TOT,GKP
Wickham,CRY,FWD
Wijnaldum,LIV,MID
Williams,EVE,DEF
Williams,HUD,MID
Willian,CHE,MID
Willock,ARS,MID
Wilshere,ARS,MID
Wilson,BOU,FWD
Wilson,WBA,DEF
Wimmer,STK,DEF
Winks,TOT,MID
