element,name,position,was_home,played,minutes_per_gameweek,prev_game_minutes_1,prev_game_minutes_2,prev_game_minutes_3,prev_game_minutes_4,prev_game_minutes_5,minutes_form,points_per_game,form,ict_per_game,ict_form,opp_team_goals_scored_per_game,opp_team_xG_per_game,opp_team_goals_conceded_per_game,opp_team_xGA_per_game
757,Conor Bradley,DEF,1,0,40.35294117647059,65.0,90.0,90.0,60.0,83.0,81.66666666666667,5.333333333333333,3.0,6.611111111111111,4.92,1.1612903225806452,1.1483870967741938,1.7419354838709677,1.4129032258064516
529,Conor Coventry,MID,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46875,1.35,1.59375,1.696875
202,Conor Gallagher,MID,1,0,80.7,90.0,88.0,61.0,90.0,90.0,79.66666666666667,3.310344827586207,4.0,5.358620689655172,6.859999999999999,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
551,Craig Dawson,DEF,0,0,71.25806451612904,0.0,0.0,0.0,0.0,90.0,0.0,2.76,0.2,3.7760000000000002,0.7,1.25,1.26875,1.75,1.4375
511,Cristian Romero,DEF,0,0,69.6774193548387,90.0,90.0,90.0,90.0,90.0,90.0,3.5384615384615383,2.8,3.623076923076923,2.88,2.096774193548387,1.8903225806451618,1.6774193548387097,1.7193548387096773
300,Curtis Jones,MID,1,0,31.93548387096774,24.0,17.0,0.0,0.0,0.0,13.666666666666666,1.8421052631578947,0.2,2.4789473684210526,0.48,1.1612903225806452,1.1483870967741938,1.7419354838709677,1.4129032258064516
798,Daiki Hashioka,DEF,0,0,29.818181818181817,61.0,90.0,45.0,0.0,67.0,65.33333333333333,0.6666666666666666,0.4,1.2333333333333334,1.2000000000000002,2.2903225806451615,2.029032258064516,1.0,0.964516129032258
407,Dan Burn,DEF,1,0,67.58064516129032,90.0,90.0,90.0,68.0,90.0,90.0,3.1923076923076925,3.6,3.3884615384615384,2.96,2.096774193548387,1.7612903225806449,1.4516129032258065,1.6161290322580644
333,Dan Potts,DEF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2903225806451615,2.029032258064516,1.0,0.964516129032258
640,Dane Scarlett,FWD,0,0,0.06451612903225806,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.2,0.0,0.0,2.096774193548387,1.8903225806451618,1.6774193548387097,1.7193548387096773
78,Dango Ouattara,MID,1,0,24.870967741935484,31.0,63.0,16.0,90.0,45.0,36.666666666666664,1.7391304347826086,3.8,2.747826086956522,5.0200000000000005,1.4516129032258065,1.4870967741935486,1.4838709677419355,1.8483870967741938
546,Daniel Bentley,GKP,0,0,9.419354838709678,0.0,0.0,0.0,0.0,45.0,0.0,4.25,0.2,1.6500000000000001,0.18,1.25,1.26875,1.75,1.4375
568,Daniel Castelo Podence,MID,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.26875,1.75,1.4375
685,Daniel Gore,MID,0,0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,1.4516129032258065,1.4645161290322577,1.7741935483870968,1.535483870967742
483,Daniel Jebbison,FWD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40625,1.5750000000000002,1.8125,1.5125
792,Daniel Munoz,DEF,0,0,81.0,90.0,90.0,90.0,90.0,90.0,90.0,1.8888888888888888,1.8,3.2888888888888888,2.4,2.3225806451612905,2.283870967741935,0.967741935483871,1.170967741935484
442,Danilo dos Santos de Oliveira,MID,1,0,40.25,80.0,90.0,0.0,0.0,60.0,56.666666666666664,1.8695652173913044,1.6,1.8391304347826085,1.9,1.4193548387096775,1.3451612903225802,1.5806451612903225,1.6548387096774195
535,Danny Ings,FWD,1,0,7.9375,0.0,0.0,1.0,0.0,8.0,0.3333333333333333,2.0,1.6,1.5266666666666666,1.1800000000000002,1.46875,1.35,1.59375,1.696875
154,Danny Welbeck,FWD,0,0,38.87096774193548,75.0,16.0,90.0,30.0,0.0,60.333333333333336,2.772727272727273,2.0,3.9045454545454548,2.92,1.0,0.990625,2.09375,1.75625
164,Dara Costelloe,MID,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6451612903225807,1.525806451612903,1.5806451612903225,1.4709677419354839
173,Dara O'Shea,DEF,1,0,76.3125,66.0,90.0,90.0,90.0,90.0,82.0,2.0357142857142856,3.0,3.414285714285714,3.8800000000000003,1.6451612903225807,1.525806451612903,1.5806451612903225,1.4709677419354839
162,Darko Churlinov,MID,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6451612903225807,1.525806451612903,1.5806451612903225,1.4709677419354839
80,Darren Randolph,GKP,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4516129032258065,1.4870967741935486,1.4838709677419355,1.8483870967741938
293,Darwin Nunez Ribeiro,FWD,1,0,58.12903225806452,67.0,90.0,82.0,75.0,30.0,79.66666666666667,4.275862068965517,4.6,7.3999999999999995,7.4,1.1612903225806452,1.1483870967741938,1.7419354838709677,1.4129032258064516
